Phone Number,Email,Credit Score,Age Group,Family Background,Income,Lead Intent
926-585-8257,stevenbailey@example.com,719,51+,Single,566617,1
607-739-8051,timothyhenderson@example.org,770,36-50,Divorced,806920,1
747-864-5575x6168,woodsjanice@example.net,594,36-50,Divorced,279370,0
001-932-628-0325x97719,timothy78@example.org,606,26-35,Single,181697,0
909.310.6086x426,matthew02@example.net,673,26-35,Married,296184,0
626.660.3283x291,daviskrystal@example.org,666,51+,Divorced,133048,0
8893637832,amyhorton@example.net,468,18-25,Single,143245,0
5672473851,cameron42@example.net,490,26-35,Divorced,994323,0
2512795791,bfrancis@example.org,385,36-50,Married,422632,0
(270)959-6149,vedwards@example.org,716,51+,Single,907221,1
001-587-796-9041x734,joshuasimmons@example.net,478,36-50,Married,371758,0
(431)754-8865x5067,enguyen@example.net,794,51+,Single,785122,1
3593393390,wrightbonnie@example.org,658,26-35,Married,533908,1
+1-322-849-9875x53684,gregorywatkins@example.net,789,36-50,Single,720828,1
001-220-200-2930x3342,mwest@example.com,731,36-50,Single,678572,1
423-476-9655x762,xanderson@example.com,830,51+,Married,556551,1
5739665844,hallkathryn@example.org,303,51+,Single,361236,0
658.724.5872,danielsrenee@example.com,700,26-35,Single,982313,1
997-639-2378,teresa16@example.org,511,18-25,Divorced,307471,0
719.223.3578,thomasstephens@example.org,360,51+,Single,819330,0
001-626-211-6412x77238,keith55@example.org,500,51+,Single,154339,0
305-864-1962,shawnedwards@example.com,302,26-35,Married,419089,0
001-341-973-2950x484,carlsonjeff@example.org,623,51+,Divorced,958703,0
001-509-815-7738x42460,shawn19@example.org,488,36-50,Single,694133,0
001-567-584-9104,nicholaspeters@example.com,714,18-25,Divorced,551486,1
388-474-7692,selenaprince@example.net,508,26-35,Married,470688,0
290-612-8405x585,hugheskimberly@example.org,424,36-50,Single,731651,0
743-650-0207x968,benjamincervantes@example.net,331,51+,Divorced,329662,0
(629)541-1568,stephanie35@example.com,440,51+,Single,925067,0
779-586-1412x258,atkinsjill@example.net,636,36-50,Single,366573,0
664.946.0327x2332,james09@example.com,598,51+,Single,951398,0
247-686-7433x51114,otaylor@example.com,370,36-50,Single,702055,0
(649)445-2428x90631,huangandrew@example.com,405,36-50,Married,855055,0
001-758-896-7602x1352,karenguzman@example.com,493,26-35,Divorced,987686,0
001-429-794-3574,silvacarrie@example.org,503,26-35,Divorced,714897,0
8788781214,robert14@example.net,553,26-35,Single,977918,0
974.260.3378x185,michelle14@example.net,426,26-35,Single,739574,0
3295693684,alexandria38@example.com,439,18-25,Married,960395,0
001-751-616-3989,jillian63@example.com,350,36-50,Divorced,992494,0
+1-919-968-4684,veronicarangel@example.com,431,26-35,Divorced,596748,0
+1-207-634-6356,stevensrandy@example.org,581,36-50,Single,251196,0
494.883.1700,umartinez@example.net,379,18-25,Single,721358,0
487.730.7832x6321,karen10@example.org,742,36-50,Married,751221,1
290.855.8997x19716,lthompson@example.com,466,51+,Divorced,157054,0
001-791-597-2733x94225,marshallgregory@example.com,393,18-25,Divorced,927340,0
(425)504-9417,ganderson@example.org,783,36-50,Divorced,445578,0
591-468-2345x40664,heathersmith@example.com,808,26-35,Single,646788,1
846.956.8643x4708,palmerraymond@example.org,528,51+,Married,738957,0
(718)963-3961x40726,lindsey84@example.com,756,51+,Married,410258,0
(356)415-2074x7561,evaughan@example.net,463,26-35,Divorced,415986,0
(983)247-7838,isullivan@example.com,710,51+,Divorced,451820,0
+1-208-213-5331x215,jacobfoley@example.org,561,18-25,Divorced,204882,0
+1-782-718-4411,walshjessica@example.net,795,26-35,Married,336363,0
001-344-289-2322x801,joannmassey@example.net,735,18-25,Divorced,392199,0
936.649.3102,tinamarks@example.com,591,26-35,Married,437332,0
